window_start,window_end,observations,gap_future_corr,directional_hit_pct,quintile_spread_pct
2011-11-29,2012-11-27,245,0.12600580950617857,55.51020408163265,0.5788710306712559
2012-02-27,2013-02-25,245,0.2995228430993129,57.55102040816327,1.4223006645474898
2012-05-27,2013-05-26,244,0.32296368436239714,59.83606557377049,1.8851591349099692
2012-08-25,2013-08-24,244,0.2790634926207643,55.32786885245902,1.7030726781651164
2012-11-23,2013-11-22,248,0.26779549854893403,60.483870967741936,1.8955454823834463
2013-02-21,2014-02-20,247,0.1869453589348435,55.87044534412956,1.0009364121485715
2013-05-22,2014-05-21,247,0.05362525828553311,49.797570850202426,0.18941813398865742
2013-08-20,2014-08-19,247,-0.05658347517292635,47.77327935222672,-0.41340220559527674
2013-11-18,2014-11-17,247,-0.0918699472764689,46.963562753036435,-0.593433176172026
2014-02-16,2015-02-15,246,-0.05914936672650741,48.78048780487805,-0.30634113639745414
2014-05-17,2015-05-16,246,-0.038040761572912106,49.1869918699187,-0.2232499894923684
2014-08-15,2015-08-14,247,-0.03917886221877701,43.7246963562753,0.01042063300072249
2014-11-13,2015-11-12,247,-0.059515850523446094,43.7246963562753,-0.11769986067758992
2015-02-11,2016-02-10,247,0.10020250593476844,50.20242914979757,0.6204961316044435
2015-05-12,2016-05-10,247,0.11832021115643383,53.036437246963565,0.4742306708047801
2015-08-10,2016-08-08,247,0.17135160831364077,56.68016194331984,0.945263024485884
2015-11-08,2016-11-06,246,0.19332548501482755,58.94308943089431,1.1785469490972371
2016-02-06,2017-02-04,246,0.15375437811426698,54.87804878048781,1.616849283848999
2016-05-06,2017-05-05,247,0.11722977884300911,52.63157894736842,1.20445910262491
2016-08-04,2017-08-03,247,0.12803160804032815,55.06072874493927,0.7273527608685211
2016-11-02,2017-11-01,247,0.09561290270704043,55.465587044534416,0.2214461436940693
2017-01-31,2018-01-30,247,0.012834932179388565,55.06072874493927,-0.03946592872082588
2017-05-01,2018-04-30,247,0.05586573031856107,60.32388663967612,-0.06880407375719844
2017-07-30,2018-07-29,246,0.01886045100170114,56.50406504065041,0.0341103299110419
2017-10-28,2018-10-27,246,0.0712629263440354,53.65853658536586,0.3549175230582846
2018-01-26,2019-01-25,246,0.2338798018516813,52.4390243902439,0.7075097875312432
2018-04-26,2019-04-25,246,0.2093063295286626,50.40650406504065,0.5082115433435475
2018-07-25,2019-07-24,246,-0.010299107828824752,50.40650406504065,-0.0673378819824687
2018-10-23,2019-10-22,246,-0.05628183090749654,49.1869918699187,-0.32444077432915797
2019-01-21,2020-01-20,246,0.019763844530199446,50.40650406504065,0.19863327511107842
2019-04-21,2020-04-19,246,0.051457003294886845,46.34146341463415,0.9896011876387796
2019-07-20,2020-07-18,255,0.11633207153221303,47.84313725490196,1.2563576805433683
2019-10-18,2020-10-16,268,0.0921893347344641,48.134328358208954,1.2397019704464138
2020-01-16,2021-01-14,268,0.0969867760936555,51.865671641791046,1.0926369087426364
2020-04-15,2021-04-14,268,0.08938448871555423,52.23880597014925,0.5146891195705305
2020-07-14,2021-07-13,262,0.045693932585397515,51.908396946564885,0.5094723697387417
2020-10-12,2021-10-11,252,0.18973722086165423,54.36507936507936,1.0445096453610123
2021-01-10,2022-01-09,252,0.13551944155811588,52.38095238095239,0.7126333360403438
2021-04-10,2022-04-09,253,0.06491622119698877,50.988142292490124,0.31897572928828594
2021-07-09,2022-07-08,249,0.1463458829603022,53.01204819277109,0.7820845482895591
2021-10-07,2022-10-06,247,0.1536944483032807,53.84615384615385,0.8796355512942853
2022-01-05,2023-01-04,246,0.14636822236824928,51.21951219512195,1.2557741994818752
2022-04-05,2023-04-04,246,0.0695120957208696,49.59349593495935,1.1241243337176294
2022-07-04,2023-07-03,246,0.061705593907154625,48.78048780487805,0.8822593043630753
2022-10-02,2023-10-01,245,0.024926409462978097,44.89795918367347,0.5366047788168923
2022-12-31,2023-12-30,245,-0.023773113314833717,47.3469387755102,-0.03297171359552087
2023-03-31,2024-03-29,245,-0.002604093800360086,47.3469387755102,-0.10198679593984913
2023-06-29,2024-06-27,246,-0.0007974111907804457,44.71544715447154,0.15347511293664867
2023-09-27,2024-09-25,246,0.046750980328002775,51.21951219512195,0.3420874142190996
2023-12-26,2024-12-24,247,0.1530651186357298,53.441295546558706,0.8003338158183061
2024-03-25,2025-03-24,245,0.13159652705077,50.204081632653065,1.1692225095747406
2024-06-23,2025-06-22,244,0.36226181306511956,53.278688524590166,2.0826800190559003
2024-09-21,2025-09-20,244,0.30636676915495376,47.13114754098361,1.3730840828995097
2024-12-20,2025-12-19,245,0.2449067527536412,44.08163265306123,0.7819431443133935
2025-03-20,2026-03-19,247,0.27993906161704035,51.417004048582996,1.9247053864742685
