side,gap_threshold,rsi_threshold,signals,mean_return_pct,median_return_pct,win_rate_pct,avg_hold_days,fair_touch_rate_pct
short,3.0,80.0,22,0.5495245672124822,0.6602809809534538,63.63636363636363,4.318181818181818,31.818181818181817
short,4.0,80.0,12,0.47867417378845517,0.7517432587581641,58.333333333333336,4.583333333333333,25.0
short,3.0,75.0,40,0.1653867366338829,0.22638095868746655,55.00000000000001,4.45,27.500000000000004
short,3.0,85.0,10,0.030287016602381645,0.9448990973500715,60.0,4.4,30.0
short,4.0,75.0,24,-0.10231050897906672,0.22638095868746655,54.166666666666664,4.5,25.0
short,2.0,85.0,12,-0.28935802360121055,-0.33561892649925373,50.0,4.5,25.0
short,2.0,80.0,28,-0.36730458767914304,-0.20150687938644274,50.0,4.428571428571429,28.57142857142857
short,2.0,75.0,54,-0.4482484090220533,-0.3834705807692296,44.44444444444444,4.555555555555555,25.925925925925924
short,5.0,75.0,11,-0.7651262349273491,-0.49997282756371053,36.36363636363637,4.7272727272727275,9.090909090909092
short,5.0,80.0,8,-0.7999795311852825,-0.8287395174797763,37.5,5.0,0.0
short,4.0,85.0,6,-0.874720279669211,-0.8606820117264047,50.0,5.0,16.666666666666664
short,5.0,85.0,4,-2.230748748107922,-2.963977476638635,25.0,5.0,0.0
