entry_bucket_30m,trades,total_pnl,avg_pnl,median_pnl,avg_return_pct,median_return_pct,win_rate_pct,avg_hold_minutes,expectancy_score
06:00,1,86.6569567183198,86.6569567183198,86.6569567183198,8.74569567183198,8.74569567183198,100.0,75093.0,8.74569567183198
12:00,1,83.99167223454577,83.99167223454577,83.99167223454577,8.479167223454576,8.479167223454576,100.0,57399.0,8.479167223454576
09:00,3,267.80372857780867,89.26790952593622,4.296601920000148,9.019382770316797,0.5934270469318603,66.66666666666666,36981.0,6.012921846877863
10:00,3,223.19314550726463,74.39771516908822,17.39234152891593,7.519771516908821,1.8192341528915932,66.66666666666666,18354.333333333332,5.013181011272546
08:30,2,69.07094356410465,34.535471782052326,34.535471782052326,3.539591968445669,3.539591968445669,100.0,39578.5,3.539591968445669
09:30,4,135.95393434594288,33.98848358648572,21.359285972518414,3.4788483586485723,2.2159285972518417,50.0,20046.25,1.7394241793242862
04:00,2,24.60704524436337,12.303522622181685,12.303522622181685,1.310278197834901,1.310278197834901,50.0,13839.5,0.6551390989174505
04:30,4,20.58251673933912,5.14562918483478,6.338620000000011,0.6442645715447026,0.8132653061224503,75.0,1241.75,0.48319842865852697
08:00,25,71.75484988915987,2.8701939955663947,1.25688033253106,0.3660722932643483,0.205688033253106,56.00000000000001,1919.2,0.20500048422803507
14:30,1,-0.30927582806862247,-0.30927582806862247,-0.30927582806862247,0.04907241719313776,0.04907241719313776,0.0,14175.0,0.0
16:00,1,-4.627411781302172,-4.627411781302172,-4.627411781302172,-0.3827411781302172,-0.3827411781302172,0.0,30.0,-0.0
18:30,1,-9.200428165867766,-9.200428165867766,-9.200428165867766,-0.8400428165867766,-0.8400428165867766,0.0,633.0,-0.0
07:00,1,-12.79999999999997,-12.79999999999997,-12.79999999999997,-1.199999999999997,-1.199999999999997,0.0,41.0,-0.0
11:30,1,-12.800000000000042,-12.800000000000042,-12.800000000000042,-1.2000000000000042,-1.2000000000000042,0.0,1134.0,-0.0
11:00,1,-12.800000000000056,-12.800000000000056,-12.800000000000056,-1.2000000000000055,-1.2000000000000055,0.0,1071.0,-0.0
10:30,1,-12.800000000000075,-12.800000000000075,-12.800000000000075,-1.2000000000000075,-1.2000000000000075,0.0,5839.0,-0.0
07:30,2,-9.52204693092939,-4.761023465464695,-4.761023465464695,-0.3961023465464695,-0.3961023465464695,50.0,4339.5,-0.19805117327323474
